Lithology/chemistry,K2O,CaO,TiO2,SiO2,Al2O3,Na2O,MgO,FeO,MnO,SO3,P2O5,Cl,Total
Dacite,4.01,1.72,0.41,69.27,14.70,4.69,1.00,2.19,0.04,,0.11,,99.88
Dacite,4.71,2.10,0.43,67.09,14.51,4.75,1.09,2.69,0.03,,0.22,,98.65
Dacite,3.55,1.98,0.44,69.93,14.43,4.73,1.21,2.25,0.04,,0.10,,99.76
