Sample,Point No.,K2O,CaO,TiO2,SiO2,Al2O3,Na2O,MgO,FeO,MnO,Cl,SO3,P2O5,Total
G-19.85m 24b,,1.50,4.45,0.60,68.15,15.19,3.43,1.90,4.43,0.13,,,,99.78
G-19.85m 20a,,1.87,6.51,0.68,64.87,15.71,3.66,2.27,4.88,0.15,,,,100.60
G-19.85m 20b,,1.79,6.59,0.67,64.73,15.85,3.78,2.21,4.81,0.16,,,,100.59
G-19.93m 1b,,1.30,16.69,0.46,58.03,11.07,4.00,2.56,4.97,0.13,,,0.46,99.67
G-19.93m 1a,,0.69,21.30,0.42,55.65,8.69,3.13,3.26,5.85,0.16,,,0.95,100.10
G-19.85m 15b,,0.34,30.26,0.55,46.68,11.90,0.99,4.03,4.52,0.13,,0.38,0.09,99.87
G-19.85m 20,,0.28,27.56,0.56,48.75,11.83,1.05,4.84,4.84,0.12,,,0.07,99.90
G-19.85m 15a,,0.30,30.01,0.51,46.43,11.76,0.97,4.27,4.99,0.16,,0.36,0.06,99.82
