Sample,Point No.,Line,K2O,CaO,TiO2,SiO2,Al2O3,Na2O,MgO,FeO,MnO,Cl,SO3,Total
D3_sph26,1,,0.78,14.21,0.65,55.79,13.52,1.88,4.14,6.58,0.22,0.03,0.01,97.81
D3_sph26,2,,0.90,15.45,0.57,58.92,13.68,2.14,3.51,5.06,0.13,0.02,0.01,100.38
D3_sph26,3,,0.67,12.85,0.71,57.24,14.32,2.03,4.26,7.01,0.23,0.06,0.00,99.37
D3_sph26,4,,1.37,8.77,0.67,62.55,14.98,3.24,2.93,5.02,0.16,0.02,0.00,99.71
D3_sph26,5,,1.52,7.44,0.64,64.38,14.85,3.14,2.66,4.89,0.16,0.00,0.00,99.68
D3_sph26,6,,1.64,6.70,0.58,65.03,14.81,2.92,2.54,4.90,0.16,0.00,0.00,99.27
D3_sph27,1,,0.89,21.53,0.67,51.15,13.42,2.03,4.29,5.11,0.18,0.17,0.00,99.44
D3_sph27,2,,0.98,18.65,0.68,53.27,13.98,2.37,3.83,5.12,0.13,0.10,0.00,99.12
D3_sph27,3,,1.06,19.26,0.70,52.69,13.94,2.51,3.87,5.26,0.15,0.10,0.00,99.54
D3_sph27,4,,1.27,15.51,0.73,55.57,14.68,2.70,3.58,5.48,0.13,0.00,0.00,99.66
D3_sph27,5,,1.15,15.71,0.72,56.08,14.67,3.06,3.52,5.05,0.11,0.00,0.00,100.07
