Sample,Point No.,Line,K2O,CaO,TiO2,SiO2,Al2O3,Na2O,MgO,FeO,MnO,Cl,SO3,Total
D3_sph1,3,,0.36,23.11,0.60,51.51,12.49,1.23,4.86,5.28,0.18,0.03,0.00,99.65
D3_sph1,4,,0.83,17.57,0.54,56.62,13.39,1.89,3.62,4.41,0.16,0.02,0.00,99.05
D3_sph1,5,,0.76,17.77,0.56,56.59,13.41,2.03,3.53,4.21,0.12,0.04,0.00,99.02
D3_sph1,6,,0.81,17.77,0.57,56.32,13.54,1.63,3.65,4.64,0.13,0.02,0.00,99.07
D3_sph2,1,,0.84,25.39,0.57,48.61,12.32,2.19,4.14,4.70,0.11,0.38,0.00,99.24
D3_sph2,2,,0.82,24.35,0.61,49.38,12.46,2.96,4.13,4.73,0.11,0.33,0.00,99.87
D3_sph2,3,,0.63,25.62,0.58,48.69,12.28,2.29,4.09,4.67,0.12,0.36,0.00,99.34
D3_sph3,1,,0.73,25.33,0.60,49.01,12.40,2.31,3.92,4.55,0.12,0.32,0.00,99.29
D3_sph3,2,,0.60,29.17,0.54,47.97,11.30,2.27,4.06,3.96,0.10,0.15,0.00,100.12
D3_sph3,3,,0.39,29.28,0.49,47.87,11.45,2.04,4.10,4.06,0.12,0.18,0.01,99.96
D3_sph3,4,,0.44,29.03,0.54,47.54,11.16,2.05,3.94,4.10,0.12,0.22,0.00,99.12
D3_sph3,5,,0.72,27.29,0.55,48.14,11.56,2.34,3.99,4.34,0.13,0.28,0.00,99.33
D3_sph3,6,,0.42,30.75,0.48,46.49,10.47,3.26,5.02,3.11,0.08,0.13,0.01,100.21
D3_sph4,2,,1.00,22.10,0.67,50.07,13.22,3.30,4.18,5.04,0.13,0.42,0.01,100.12
D3_sph4,3,,1.04,21.79,0.68,50.35,12.88,2.61,4.14,4.98,0.16,0.31,0.01,98.93
D3_sph4,4,,1.06,17.09,0.69,54.35,13.94,4.21,3.58,4.97,0.09,0.03,0.00,100.01
D3_sph4,5,,1.14,18.59,0.68,52.59,13.43,3.44,3.62,4.84,0.12,0.15,0.00,98.61
D3_sph4,6,,1.68,15.36,0.60,55.56,14.57,4.18,3.12,4.57,0.08,0.01,0.00,99.71
D3_sph5,1,,0.52,32.56,0.42,46.30,10.23,2.02,3.93,3.33,0.07,0.19,0.01,99.58
D3_sph5,2,,0.43,32.85,0.43,45.56,10.09,2.13,3.91,3.35,0.05,0.39,0.00,99.19
D3_sph5,3,,0.58,31.55,0.47,47.11,10.22,1.97,3.73,3.25,0.09,0.16,0.00,99.12
D3_sph5,4,,0.35,32.31,0.45,46.17,10.13,2.04,3.95,3.30,0.11,0.27,0.00,99.08
D3_sph6,1,,0.23,32.57,0.53,46.20,10.50,1.61,4.16,3.89,0.12,0.02,0.00,99.82
D3_sph6,2,,0.69,24.28,0.59,49.91,12.19,2.53,3.86,4.61,0.12,0.16,0.00,98.93
D3_sph6,3,,0.60,25.12,0.57,49.88,12.16,1.91,4.32,4.65,0.15,0.25,0.00,99.60
D3_sph6,4,,0.62,25.10,0.58,50.34,12.09,2.24,3.87,4.71,0.14,0.20,0.00,99.88
D3_sph6,5,,0.81,23.31,0.58,51.29,12.45,2.51,3.84,4.49,0.11,0.10,0.00,99.49
D3_sph6,6,,1.04,18.41,0.63,53.69,13.40,3.32,3.45,4.69,0.13,0.01,0.00,98.75
D3_sph7,1,,0.41,32.17,0.38,46.69,10.05,1.19,4.64,3.27,0.11,0.02,0.00,98.92
D3_sph7,2,,0.74,23.63,0.54,51.55,12.00,2.62,3.20,4.51,0.15,0.00,0.00,98.93
D3_sph7,3,,0.58,25.02,0.53,51.34,11.62,1.93,3.57,4.62,0.15,0.00,0.00,99.35
D3_sph7,4,,1.08,22.39,0.51,53.42,12.28,2.88,3.02,4.25,0.13,0.03,0.00,99.99
D3_sph7,5,,0.96,20.37,0.53,55.40,12.58,3.10,2.74,3.86,0.08,0.01,0.00,99.61
D3_sph7,6,,1.09,20.39,0.53,55.62,12.80,3.40,2.72,3.74,0.15,0.01,0.00,100.44
D3_sph8,1,,0.70,24.82,0.64,49.22,12.83,2.19,4.35,4.72,0.10,0.40,0.00,99.97
D3_sph8,2,,0.75,25.26,0.60,48.24,12.59,2.41,4.46,4.77,0.12,0.42,0.01,99.63
D3_sph8,3,,0.82,24.41,0.60,49.23,12.91,2.26,4.41,4.64,0.12,0.51,0.00,99.91
D3_sph8,4,,0.83,24.55,0.59,48.85,12.61,2.56,4.36,4.79,0.14,0.56,0.01,99.87
D3_sph8,5,,0.82,24.74,0.57,48.19,12.76,2.42,4.39,4.61,0.12,0.56,0.00,99.17
D3_sph8,6,,0.76,23.92,0.64,49.39,12.77,2.21,4.25,4.73,0.11,0.50,0.00,99.28
D3_sph9,1,,0.80,16.47,0.56,55.68,12.35,2.67,3.81,5.29,0.14,0.00,0.00,97.78
D3_sph9,2,,1.04,14.96,0.68,56.33,12.34,3.20,3.71,5.26,0.18,0.02,0.01,97.72
D3_sph9,3,,1.54,9.60,0.56,64.11,13.51,3.55,2.50,4.13,0.08,0.00,0.00,99.57
D3_sph9,4,,0.95,10.16,0.56,64.52,13.49,3.52,2.45,4.26,0.13,0.01,0.00,100.03
D3_sph9,5,,1.40,10.23,0.56,63.88,13.26,3.95,2.43,3.95,0.08,0.02,0.00,99.75
D3_sph9,6,,1.83,9.32,0.54,64.29,13.52,4.07,2.58,4.32,0.09,0.00,0.00,100.54
D3_sph10,1,,0.26,27.37,0.56,48.39,11.88,1.17,5.29,5.22,0.18,0.10,0.00,100.41
D3_sph10,2,,0.38,22.25,0.69,49.12,12.68,1.19,6.93,5.70,0.14,0.13,0.01,99.20
D3_sph10,3,,0.72,18.24,0.58,55.72,13.33,1.66,3.95,4.67,0.13,0.16,0.00,99.17
D3_sph10,4,,0.74,18.90,0.59,55.39,13.13,2.02,4.05,4.60,0.11,0.20,0.01,99.75
D3_sph10,5,,0.98,16.36,0.52,56.71,13.74,2.28,3.78,4.61,0.12,0.08,0.00,99.19
D3_sph10,6,,1.38,13.61,0.53,61.53,14.27,2.99,2.59,3.60,0.10,0.02,0.01,100.62
D3_sph11,1,,0.34,26.55,0.64,48.27,12.66,1.72,4.63,4.99,0.14,0.12,0.00,100.06
D3_sph11,2,,0.90,17.92,0.70,53.33,13.88,2.25,4.16,5.44,0.17,0.03,0.00,98.77
D3_sph11,3,,0.95,19.67,0.64,53.83,13.87,2.53,3.97,4.97,0.17,0.13,0.00,100.73
D3_sph11,4,,0.96,19.64,0.69,53.14,13.71,2.73,3.60,4.68,0.15,0.13,0.00,99.41
D3_sph11,5,,1.41,14.57,0.73,57.93,14.83,3.42,2.79,4.27,0.13,0.00,0.00,100.08
D3_sph11,6,,1.48,15.93,0.64,57.39,14.45,3.16,2.76,3.82,0.11,0.03,0.00,99.77
D3_sph12,1,,1.22,11.08,0.64,60.18,14.80,3.00,3.27,4.87,0.17,0.01,0.00,99.26
D3_sph12,2,,1.19,9.97,0.65,61.31,15.17,2.97,3.21,5.39,0.12,0.01,0.00,100.01
D3_sph12,3,,0.76,10.70,0.61,59.52,14.81,2.72,3.36,5.28,0.14,0.00,0.00,97.90
D3_sph12,4,,1.04,11.59,0.64,60.13,14.58,2.67,3.32,5.22,0.14,0.00,0.00,99.32
D3_sph12,5,,1.53,9.96,0.63,60.52,15.63,2.83,2.98,4.83,0.15,0.00,0.00,99.06
D3_sph12,6,,1.66,10.13,0.66,61.76,15.03,2.72,3.02,4.98,0.16,0.00,0.00,100.12
D3_sph13,1,,0.70,23.43,0.63,49.92,12.65,2.33,4.23,4.95,0.13,0.58,0.00,99.55
D3_sph13,2,,0.84,23.37,0.66,50.12,12.97,2.62,4.02,4.80,0.15,0.27,0.00,99.82
D3_sph13,3,,0.79,24.50,0.66,49.40,12.72,2.37,4.20,4.76,0.11,0.33,0.00,99.85
D3_sph13,4,,1.03,20.50,0.63,52.08,13.53,3.06,4.04,5.08,0.11,0.13,0.00,100.18
D3_sph13,5,,1.08,20.50,0.67,51.97,13.50,3.15,4.05,5.31,0.11,0.11,0.00,100.45
D3_sph13,6,,1.31,19.52,0.69,53.06,13.57,3.04,3.64,4.79,0.11,0.06,0.00,99.78
D3_sph14,1,,0.88,14.90,0.54,57.83,13.91,2.26,3.94,5.58,0.17,0.02,0.00,100.02
D3_sph14,2,,1.41,8.76,0.57,63.11,14.64,3.77,3.22,5.51,0.17,0.00,0.00,101.16
D3_sph14,3,,1.65,8.33,0.66,61.07,14.73,3.51,3.07,5.93,0.14,0.00,0.00,99.08
D3_sph14,4,,1.32,8.32,0.69,61.84,15.45,2.94,3.33,6.07,0.17,0.00,0.01,100.14
D3_sph14,5,,1.56,5.56,0.64,65.92,15.57,3.39,2.40,4.73,0.12,0.01,0.00,99.88
D3_sph14,6,,1.78,6.02,0.64,65.82,15.44,3.74,2.29,4.52,0.14,0.00,0.00,100.41
D3_sph15,1,,0.23,24.15,0.58,50.33,13.09,0.86,5.05,5.77,0.17,0.07,0.00,100.30
D3_sph15,2,,0.57,20.04,0.55,55.37,13.39,1.98,4.01,4.26,0.12,0.06,0.01,100.37
D3_sph15,3,,0.61,19.41,0.56,55.43,13.38,1.67,4.10,4.41,0.13,0.05,0.00,99.75
D3_sph15,4,,0.82,13.12,0.59,59.00,14.09,2.34,3.82,5.76,0.20,0.00,0.01,99.74
D3_sph15,5,,1.72,5.62,0.62,66.05,15.34,3.48,2.23,4.59,0.13,0.00,0.00,99.79
D3_sph15,6,,1.78,7.51,0.62,64.39,15.27,3.80,1.88,3.81,0.08,0.00,0.00,99.13
D3_sph16,1,,0.65,14.38,0.64,54.29,13.20,2.20,4.67,8.20,0.28,0.03,0.00,98.54
D3_sph16,2,,1.24,10.07,0.69,58.61,14.76,3.18,4.03,7.68,0.23,0.03,0.01,100.52
D3_sph16,3,,1.78,5.77,0.61,65.09,14.83,3.43,2.46,5.62,0.11,0.00,0.00,99.69
D3_sph16,4,,1.67,5.61,0.74,65.20,15.64,3.62,2.45,4.89,0.15,0.01,0.00,99.98
